Date(UTC),UnixTimeStamp,eth_etherprice,eth_tx,eth_address,eth_supply,eth_marketcap,eth_hashrate,eth_difficulty,eth_blocks,eth_uncles,eth_blocksize,eth_blocktime,eth_gasprice,eth_gaslimit,eth_gasused,eth_ethersupply,eth_ens_register
8/13/2015,1439424000,1.91,2842,14459,72446530.5,138.372873255,144.8995,2.337,5286,504,666,16.34,268683475202,3141552,88234087,28268.125,
8/14/2015,1439510400,1.8,3174,15024,72477637.2188,130.459746994,183.5527,2.671,5809,555,660,14.88,193455494453,3141575,78746522,31106.71875,
8/15/2015,1439596800,1.79,2284,15407,72506149.875,129.786008276,213.9622,3.378,5382,441,638,16.04,144368937208,3141584,59565914,28512.65625,
8/16/2015,1439683200,1.37,2440,15698,72533244.4062,99.3705448366,220.8548,3.632,5132,385,641,16.84,120940093311,3141581,58241191,27094.53125,
8/17/2015,1439769600,1.3,2512,15984,72561363.3125,94.3297723063,245.4865,3.908,5347,377,635,16.16,132149993345,3141589,60515132,28118.90625,
8/18/2015,1439856000,1.36,2494,16268,72587526.125,98.71903553,253.7123,4.378,4948,390,648,17.46,146513014268,3141585,66816413,26162.8125,
8/19/2015,1439942400,1.25,3246,16553,72614808.1562,90.7685101953,269.2527,4.42,5192,361,653,16.64,194583349948,3141611,91746712,27282.03125,
8/20/2015,1440028800,1.55,2303,16773,72635865.1875,112.585591041,252.3917,4.469,4024,257,650,21.47,99011782801,3141608,63112713,21057.03125,
8/21/2015,1440115200,1.45,3919,17070,72662556.125,105.360706381,263.4014,4.415,5088,338,668,16.98,79543407701,3141620,106379973,26690.9375,
8/22/2015,1440201600,1.4,3579,17313,72690106.5938,101.766149231,298.2545,4.828,5271,323,648,16.39,552841333007,3141669,90744195,27550.46875,
8/23/2015,1440288000,1.38,4190,17662,72716362.2188,100.348579862,303.082,5.138,5013,320,681,17.24,73439482806,3141828,117802449,26255.625,
8/24/2015,1440374400,1.24,4432,17839,72743695.5,90.20218242,314.6624,5.179,5184,377,673,16.67,92409814705,3141762,97648912,27333.28125,
8/25/2015,1440460800,1.26,4487,18089,72770431.5938,91.6907438081,309.2154,5.173,5097,335,680,16.95,76432335617,3141658,114480057,26736.09375,
8/26/2015,1440547200,1.17,4156,18298,72796569.5625,85.1719863881,327.8673,5.587,5003,303,669,17.27,60481160549,3141656,99511209,26137.96875,
8/27/2015,1440633600,1.14,5590,18508,72821102.375,83.0160567075,327.6196,5.925,4708,266,708,18.35,59307091958,3141738,147888097,24532.8125,
8/28/2015,1440720000,1.29,4758,18687,72845327.5312,93.9704725153,340.1254,6.251,4653,257,691,18.57,92879907335,3141816,111903559,24225.15625,
8/29/2015,1440806400,1.18,4139,18815,72867852.5312,85.9840659869,339.3919,6.658,4329,232,682,19.93,56211090684,3141640,99107570,22525.0,
8/30/2015,1440892800,1.31,4572,19017,72889306.125,95.4849910237,332.4474,6.781,4155,179,689,20.77,55155494457,3141760,102643603,21453.59375,
8/31/2015,1440979200,1.31,5196,19168,72910599.5625,95.5128854269,351.2291,7.214,4122,182,731,20.87,58423521569,3141670,129040364,21293.4375,
9/1/2015,1441065600,1.34,5153,19349,72930942.5312,97.7274629919,354.1181,7.641,3938,171,741,21.86,56671549652,3142022,140186844,20342.96875,
9/2/2015,1441152000,1.16,5195,19500,72949329.875,84.621222655,349.6263,8.284,3577,135,766,24.12,59243651401,3141705,139367393,18387.34375,
9/3/2015,1441238400,1.24,4777,19646,72966710.8125,90.4787214075,331.5756,8.355,3383,126,755,25.53,55051483461,3141915,126323875,17380.9375,
9/4/2015,1441324800,1.24,5642,19791,72989792.6875,90.5073429325,340.3879,6.47,4443,232,762,19.3,58779015464,3141831,167169621,23081.875,
9/5/2015,1441411200,1.37,5519,19955,73015421.75,100.031127798,361.5994,6.235,4921,274,753,17.48,54768144366,3141859,159443421,25629.0625,
9/6/2015,1441497600,1.34,5521,20081,73041590.0312,97.8757306419,371.3126,6.305,4978,345,733,17.19,55089818552,3141785,142769611,26168.28125,
9/7/2015,1441584000,1.32,5702,20308,73067050.5,96.44850666,360.9598,6.339,4834,343,753,17.77,53594260637,3141753,170954165,25460.46875,
9/8/2015,1441670400,1.3,5622,20433,73092943.0,95.0208259,352.7229,6.077,4923,348,759,17.46,64932639811,3141945,159613715,25892.5,
9/9/2015,1441756800,1.25,5604,20609,73119370.6562,91.3992133203,368.0392,6.202,5035,345,765,17.12,53779997784,3141686,173606036,26427.65625,
9/10/2015,1441843200,1.16,5341,20711,73145814.875,84.849145255,371.1206,6.29,5003,383,730,17.18,54630657670,3141856,141533806,26444.21875,
9/11/2015,1441929600,1.01,6460,20897,73173054.7188,73.9047852659,397.2576,6.562,5141,411,736,16.71,55713802958,3141709,160019709,27239.84375,
9/12/2015,1442016000,1.12,5596,21043,73199455.8125,81.98339051,405.6008,6.833,5026,339,761,17.11,61830202468,3141607,186314190,26401.09375,
9/13/2015,1442102400,0.89,6057,21252,73225627.2188,65.1708082247,412.3321,7.022,4971,353,764,17.25,52313524792,3141606,177583552,26171.40625,
9/14/2015,1442188800,0.96,5572,21409,73251215.3438,70.32116673,380.4038,6.626,4851,360,771,17.61,53772389657,3141838,171636301,25588.125,
9/15/2015,1442275200,0.95,5409,21581,73276830.6562,69.6129891234,366.6357,6.419,4842,378,755,17.75,53191101494,3141800,148568242,25615.3125,
9/16/2015,1442361600,0.96,5872,21719,73303148.7812,70.37102283,362.0796,6.179,4956,412,739,17.32,111518559318,3141820,146153300,26318.125,
9/17/2015,1442448000,0.92,5368,21826,73328584.4062,67.4622976537,342.0493,6.04,4808,372,753,17.91,55637920883,3141794,147106346,25435.625,
9/18/2015,1442534400,0.85,5802,21999,73354486.125,62.3513132062,326.1315,5.653,4889,403,785,17.57,55703151966,3141637,212949263,25901.71875,
9/19/2015,1442620800,0.9,5205,22106,73381665.8125,66.0434992312,332.9998,5.548,5078,490,735,16.9,51639660974,3141615,151038683,27179.6875,
9/20/2015,1442707200,0.93,6402,22230,73409648.4688,68.2709730759,390.7766,6.202,5305,389,766,16.04,52910345407,3142039,206446103,27982.65625,
9/21/2015,1442793600,0.9,6305,22363,73436300.3438,66.0926703094,393.8171,6.541,5075,340,779,16.87,51171380285,3141982,190902398,26651.875,
9/22/2015,1442880000,0.87,6804,22496,73462670.6562,63.9125234709,395.4227,6.624,5051,298,807,17.0,51465441496,3141713,211491983,26370.3125,
9/23/2015,1442966400,0.9,7404,22648,73489750.9688,66.1407758719,422.5629,6.895,5165,334,784,16.58,51732832046,3141858,198471252,27080.3125,
9/24/2015,1443052800,0.83,6224,22783,73516136.75,61.0183935025,417.591,7.029,5021,341,782,17.1,54262646753,3141870,183782502,26385.78125,
9/25/2015,1443139200,0.69,5851,22902,73543140.1875,50.7447667294,421.4033,6.977,5126,366,767,16.73,52300197415,3141685,178617418,27003.4375,
9/26/2015,1443225600,0.71,5907,22964,73569050.5,52.234025855,423.4245,7.227,4930,338,765,17.32,55315658061,3141649,160320021,25910.3125,
9/27/2015,1443312000,0.77,5760,23045,73594061.5938,56.6674274272,412.8378,7.253,4773,307,725,17.92,51025979902,3141739,165754018,25011.09375,
9/28/2015,1443398400,0.62,6123,23160,73618775.8125,45.6436410037,379.0354,6.747,4738,275,755,18.02,52683661382,3141657,171799357,24714.21875,
9/29/2015,1443484800,0.59,5738,23283,73643144.25,43.4494551075,330.5963,6.057,4640,314,762,18.51,55437141860,3141780,155322802,24368.4375,
9/30/2015,1443571200,0.73,5870,23385,73668238.0,53.77781374,315.1845,5.625,4757,356,742,18.04,51461473059,3141889,161315703,25093.75,
10/1/2015,1443657600,0.67,6421,23482,73695660.0312,49.3760922209,347.9262,5.653,5210,373,741,16.45,51474669294,3141822,167413168,27422.03125,
10/2/2015,1443744000,0.66,6063,23563,73722573.1562,48.6568982831,364.9391,5.982,5143,324,773,16.62,52567714347,3141782,175336965,26913.125,
10/3/2015,1443830400,0.7,6112,23689,73749026.9062,51.6243188344,378.3587,6.291,5077,292,769,16.84,52502578427,3141755,176738025,26453.75,
10/4/2015,1443916800,0.68,6624,23777,73774507.0625,50.1666648025,360.3209,6.206,4886,281,776,17.47,50733256095,3141756,175625589,25480.15625,
10/5/2015,1444003200,0.66,6279,23909,73800643.9375,48.7084249987,373.8427,6.285,5009,292,771,17.05,50742818443,3141678,217225401,26136.875,
10/6/2015,1444089600,0.63,6458,24005,73825680.5,46.510178715,361.6866,6.276,4806,266,781,17.67,51375494165,3141827,185466056,25036.5625,
10/7/2015,1444176000,0.61,7121,24102,73851814.0938,45.0496065972,354.5899,5.984,5004,295,808,17.09,51181314265,3141680,227483136,26133.59375,
10/8/2015,1444262400,0.62,6926,24168,73878596.2812,45.8047296944,364.4138,5.978,5152,270,789,16.6,56971870131,3141709,206603046,26782.1875,
10/9/2015,1444348800,0.64,6763,24243,73904043.9375,47.29858812,355.5959,6.123,4905,245,779,17.45,61962572208,3141695,180944156,25447.65625,
10/10/2015,1444435200,0.64,6529,24303,73929543.625,47.31490792,351.084,6.032,4896,270,778,17.44,64893302980,3141792,174240457,25499.6875,
10/11/2015,1444521600,0.61,6023,24359,73956054.4062,45.1131931878,368.0058,6.139,5073,301,748,16.91,56318375319,3141731,154497993,26510.78125,
10/12/2015,1444608000,0.65,6593,24473,73982854.4062,48.0888553641,378.7687,6.145,5148,284,787,16.48,51359902694,3141695,200001725,26800.0,
10/13/2015,1444694400,0.6,6818,24675,74009522.6875,44.4057136125,384.9138,6.357,5108,301,818,16.76,53219625156,3141683,223630692,26668.28125,
10/14/2015,1444780800,0.51,6830,24906,74035398.3125,37.7580531394,379.3914,6.482,4934,320,791,17.3,57976429615,3141697,193279995,25875.625,
10/15/2015,1444867200,0.6,6499,25142,74061008.7812,44.4366052688,361.6693,6.209,4926,263,824,17.39,54823147993,3141699,347607211,25610.46875,
10/16/2015,1444953600,0.52,6795,25248,74086450.1875,38.5249540975,336.9025,5.815,4883,273,827,17.56,53404946237,3141670,400824348,25441.40625,
10/17/2015,1445040000,0.54,6567,25356,74112900.8125,40.0209664388,360.0608,6.004,5056,312,788,16.86,53619552703,3141653,230368185,26450.625,
10/18/2015,1445126400,0.51,6481,25489,74138749.0938,37.8107620378,349.8902,5.974,4945,297,812,17.28,52006592112,3141624,249377360,25848.28125,
10/19/2015,1445212800,0.49,6604,25729,74164715.8125,36.3407107481,347.3344,5.922,4975,291,802,17.29,52456819761,3141665,216816740,25966.71875,
10/20/2015,1445299200,0.44,5897,25828,74190908.3125,32.6439996575,343.9115,5.835,4990,332,770,17.2,53767556518,3141727,191557542,26192.5,
10/21/2015,1445385600,0.43,6182,26090,74216954.7188,31.9132905291,346.8015,5.876,4990,289,774,17.22,53588794315,3141707,180468852,26046.40625,
10/22/2015,1445472000,0.61,5979,26244,74242285.5,45.287794155,326.6268,5.734,4835,305,782,17.78,57253941421,3141732,237772273,25330.78125,
10/23/2015,1445558400,0.57,6888,26449,74269844.0938,42.3338111334,365.8809,5.879,5263,331,818,16.26,51207267003,3141638,260401303,27558.59375,
10/24/2015,1445644800,0.55,6361,26892,74296959.0938,40.8633275016,387.2388,6.288,5171,336,771,16.52,50749518370,3141626,211420205,27115.0,
10/25/2015,1445731200,0.64,5830,27220,74323773.3125,47.56721492,399.05,6.589,5096,351,751,16.74,51635339670,3141631,170100960,26814.21875,
10/26/2015,1445817600,0.71,5938,27534,74349688.625,52.7882789237,379.5194,6.541,4908,366,765,17.52,54585998170,3141613,203310004,25915.3125,
10/27/2015,1445904000,0.84,6784,27744,74377214.875,62.476860495,402.6895,6.542,5220,376,815,16.5,53525777571,3141603,365376906,27526.25,
10/28/2015,1445990400,0.97,7346,27918,74403563.3125,72.1714564131,399.8592,6.846,4967,398,808,17.33,54787998286,3141629,202357247,26348.4375,
10/29/2015,1446076800,1.11,7836,28188,74431070.3438,82.6184880816,428.9193,7.04,5158,453,814,16.64,52364630378,3141634,241667844,27507.03125,
10/30/2015,1446163200,1.14,7941,28770,74458794.25,84.883025445,461.8848,7.429,5232,409,781,16.3,54017718700,3141598,250649964,27723.90625,
10/31/2015,1446249600,0.88,7557,29166,74486542.0625,65.548157015,474.3059,7.793,5129,554,812,16.65,53753181787,3141633,296674561,27747.8125,
11/1/2015,1446336000,1.05,6915,29676,74514722.2188,78.2404583297,475.3902,7.781,5158,625,783,16.54,50751088484,3141603,316473677,28180.15625,
11/2/2015,1446422400,0.97,6558,29973,74541856.4375,72.3056007444,458.2611,7.69,5024,531,779,17.04,53162663704,3141654,193339829,27134.21875,
11/3/2015,1446508800,0.98,7399,30326,74569462.2188,73.0780729744,441.5678,7.333,5085,573,844,16.83,51578536572,3141601,236076946,27605.78125,
11/4/2015,1446595200,0.83,7037,30608,74597178.625,61.9156582587,465.7518,7.743,5125,549,762,16.79,52243136362,3141728,180987375,27716.40625,
11/5/2015,1446681600,0.9,7498,30815,74624470.0312,67.1620230281,455.3749,7.582,5103,473,813,16.85,52990311400,3141619,199792729,27291.40625,
11/6/2015,1446768000,0.94,7882,30968,74651892.2188,70.1727786856,464.8882,7.592,5142,450,812,16.56,52184810513,3141598,309939683,27422.1875,
11/7/2015,1446854400,0.93,10996,31514,74678607.5312,69.4511050041,443.1504,7.55,4922,550,1005,17.27,51944373853,3141648,572275369,26715.3125,
11/8/2015,1446940800,1.0,12413,32153,74705896.5938,74.7058965937,459.0328,7.709,5021,570,1015,17.02,52414324288,3141634,563914716,27289.0625,
11/9/2015,1447027200,1.01,7689,32455,74732956.125,75.4802856862,461.3202,7.754,5024,509,786,17.0,51918274052,3141601,211894015,27059.53125,
11/10/2015,1447113600,0.9,8151,32634,74760400.1875,67.2843601687,463.7579,7.76,5053,574,834,16.92,52237284910,3141605,287969451,27444.0625,
11/11/2015,1447200000,0.75,10217,32804,74788226.75,56.0911700625,454.769,7.673,5028,702,1044,17.08,52560853806,3141604,414061456,27826.5625,
11/12/2015,1447286400,0.89,9534,32918,74816251.2812,66.5864636403,465.8401,7.746,5079,693,874,16.84,59050838844,3141977,450460992,28024.53125,
11/13/2015,1447372800,0.9,7891,33055,74844436.4375,67.3599927937,479.0797,7.87,5119,681,808,16.63,51534479321,3141601,280236525,28185.15625,
11/14/2015,1447459200,0.88,7211,33157,74872794.0938,65.8880588025,481.9432,7.913,5127,713,938,16.64,51216461485,3141660,360305868,28357.65625,
11/15/2015,1447545600,0.92,7170,33264,74900914.25,68.90884111,505.889,8.26,5195,561,797,16.52,51537798825,3141650,224846805,28120.15625,
11/16/2015,1447632000,0.93,7442,33376,74928309.4062,69.6833277478,499.1223,8.327,5039,577,782,16.97,56768038418,3141691,182259335,27395.15625,
11/17/2015,1447718400,1.0,7145,33512,74956103.0,74.956103,500.689,8.153,5163,515,762,16.54,56303859554,3141628,171866071,27793.59375,
11/18/2015,1447804800,1.0,7373,33629,74983355.0312,74.9833550312,515.9244,8.55,5075,489,774,16.81,53515892028,3141600,195036006,27252.03125,
11/19/2015,1447891200,0.96,8876,33765,75009918.4688,72.00952173,527.3325,8.807,4977,446,882,17.04,54119551224,3141601,291565861,26563.4375,
11/20/2015,1447977600,0.92,6348,33883,75035048.9375,69.0322450225,444.6029,7.975,4721,403,814,18.1,54384895828,3141629,215430072,25130.46875,
11/21/2015,1448064000,0.97,6822,33999,75061831.125,72.8099761913,452.9449,7.601,5035,422,832,16.97,54039631830,3141598,200136785,26782.1875,
11/22/2015,1448150400,0.99,7083,34447,75088819.7188,74.3379315216,453.2137,7.533,5049,459,816,16.9,53793371733,3141599,200785655,26988.59375,
11/23/2015,1448236800,0.93,8260,34594,75116092.0625,69.8579656181,460.4471,7.566,5089,483,863,16.65,55629754775,3141623,233727612,27272.34375,
11/24/2015,1448323200,0.93,7152,34812,75142940.1875,69.8829343744,451.9348,7.665,5001,484,828,17.21,58042755370,3141597,213080657,26848.125,
11/25/2015,1448409600,0.87,7098,34913,75169412.0625,65.3973884944,437.6937,7.517,4940,464,807,17.37,54235748106,3141605,236509015,26471.875,
11/26/2015,1448496000,0.87,7278,35071,75195950.5,65.420476935,440.4046,7.498,4940,486,784,17.36,53986356287,3141604,172083879,26538.4375,
11/27/2015,1448582400,0.88,6639,35136,75223837.375,66.19697689,458.006,7.47,5174,528,790,16.5,53456555142,3141597,173300084,27886.875,
11/28/2015,1448668800,0.93,6817,35204,75251045.3438,69.9834721697,460.0296,7.721,5008,571,774,16.96,54312682973,3141615,277436869,27207.96875,
11/29/2015,1448755200,0.88,6853,35288,75278393.1562,66.2449859775,467.2217,7.721,5050,550,776,16.84,53321187419,3141597,171604728,27347.8125,
11/30/2015,1448841600,0.9,8986,35402,75305749.4062,67.7751744656,470.9538,7.781,5080,516,864,16.75,55199244474,3141791,378296036,27356.25,
12/1/2015,1448928000,0.87,6794,35508,75333292.2188,65.5399642303,470.8828,7.873,5078,566,847,16.92,54837947431,3141605,231616100,27542.8125,
12/2/2015,1449014400,0.83,6502,35607,75359299.25,62.5482183775,446.5842,7.818,4824,501,819,17.86,53588845124,3141635,209753737,26007.03125,
12/3/2015,1449100800,0.83,6971,35709,75387362.5312,62.5715109009,465.4228,7.588,5205,537,778,16.46,53564860105,3141598,198524826,28063.28125,
12/4/2015,1449187200,0.84,6898,35879,75414041.9062,63.3477952013,464.769,7.833,5008,432,804,17.09,53920215595,3141596,224707034,26679.375,
12/5/2015,1449273600,0.86,6784,36022,75440623.7812,64.8789364519,484.0832,8.164,5006,412,835,17.07,54430269329,3141598,231821279,26581.875,
12/6/2015,1449360000,0.84,9103,36291,75466879.5625,63.3921788325,456.1653,7.852,4913,453,877,17.42,53904812363,3141608,321509549,26255.78125,
12/7/2015,1449446400,0.81,7141,36437,75493598.4688,61.1498147597,451.5806,7.648,4971,493,775,17.18,53988885934,3141601,176718066,26718.90625,
12/8/2015,1449532800,0.81,6697,36557,75519910.9688,61.1711278847,440.4392,7.548,4911,464,771,17.39,53743612456,3141598,170716327,26312.5,
12/9/2015,1449619200,0.8,7001,36673,75548235.0312,60.438588025,451.5592,7.35,5208,602,779,16.46,54733915734,3141606,179709088,28324.0625,
12/10/2015,1449705600,0.84,7444,36820,75575712.375,63.483598395,472.5491,7.773,5144,467,820,16.71,54938250098,3141594,205190667,27477.34375,
12/11/2015,1449792000,0.9,8105,36951,75602735.1875,68.0424616687,482.2872,8.06,5062,454,884,16.93,58195798149,3141605,270674425,27022.8125,
12/12/2015,1449878400,0.97,8205,37373,75629941.75,73.3610434975,485.3189,8.045,5076,486,916,16.82,59486449382,3141646,353864548,27206.5625,
12/13/2015,1449964800,0.93,7426,37569,75657849.0938,70.3617996572,527.4325,8.472,5280,399,845,16.29,56701649126,3141609,325726017,27907.34375,
12/14/2015,1450051200,0.99,15550,37729,75684557.6875,74.9277121106,507.6232,8.576,4999,455,1752,17.12,53372600387,3141665,1415319249,26708.59375,
12/15/2015,1450137600,1.0,21098,37850,75711572.2188,75.7115722188,525.7241,8.769,5070,445,1834,16.91,62650330558,3185202,1945458070,27014.53125,
12/16/2015,1450224000,0.82,10304,37990,75738029.5625,62.1051842413,507.043,8.562,4982,407,1216,17.13,54026271431,3141637,838759501,26457.34375,
12/17/2015,1450310400,0.94,9612,38358,75764912.6875,71.2190179263,525.5147,8.734,5060,420,1053,16.86,55081281267,3141623,606010119,26883.125,
12/18/2015,1450396800,0.92,9032,38634,75791584.25,69.72825751,521.94,8.78,5020,414,1057,17.06,55034649240,3141645,601895736,26671.5625,
12/19/2015,1450483200,0.92,9314,38756,75818278.7812,69.7528164788,521.0237,8.719,5038,401,1009,16.89,53891713881,3141624,539740128,26694.53125,
12/20/2015,1450569600,1.04,9879,38902,75844714.875,78.87850347,508.7178,8.54,4947,447,1103,17.07,53342677327,3141680,655002877,26436.09375,
12/21/2015,1450656000,0.9,12063,39082,75871172.6875,68.2840554188,503.4873,8.513,4976,418,1172,17.14,53466176225,3141615,740632642,26457.8125,
12/22/2015,1450742400,0.89,21027,39208,75898547.0625,67.5497068856,532.5519,8.74,5129,456,2045,16.63,53627121090,3142834,1120896788,27374.375,
12/23/2015,1450828800,0.86,22740,39317,75925946.4375,65.2963139363,515.6242,8.532,5112,488,1544,16.73,55663754533,3172096,1474132298,27399.375,
12/24/2015,1450915200,0.87,13494,39422,75952633.0,66.07879071,510.9724,8.569,5018,422,1292,17.04,52792315740,3141625,872428171,26686.5625,
12/25/2015,1451001600,0.9,9521,39537,75979436.5938,68.3814929344,513.0784,8.546,5080,371,1042,16.82,53550792729,3141620,502552472,26803.59375,
12/26/2015,1451088000,0.85,10726,39678,76005996.75,64.6050972375,503.1197,8.456,5004,405,1074,17.08,53675955367,3141622,587287522,26560.15625,
12/27/2015,1451174400,0.91,21867,39822,76032850.5,69.189893955,513.1455,8.589,5018,468,1575,16.96,66846252680,3236740,1308470039,26853.75,
12/28/2015,1451260800,0.87,12368,40010,76059908.4688,66.1721203678,519.2876,8.532,5081,439,1239,16.65,53108130511,3141597,687001176,27057.96875,
12/29/2015,1451347200,0.91,11358,40182,76086569.5625,69.2387783019,507.0365,8.605,4981,463,1200,17.18,53729001893,3141598,621538951,26661.09375,
12/30/2015,1451433600,0.93,21767,40333,76113305.8125,70.7853744056,505.9181,8.478,5028,420,1564,17.03,56716784472,3160925,1353161589,26736.25,
12/31/2015,1451520000,0.94,10301,40566,76140217.8438,71.5718047731,511.0014,8.543,5040,449,1057,16.97,57661175081,3141595,452065747,26912.03125,
1/1/2016,1451606400,0.96,8233,40701,76166284.4062,73.11963303,498.5749,8.547,4885,434,885,17.43,54747565393,3141603,292262422,26066.5625,
1/2/2016,1451692800,0.97,9164,40850,76193668.3125,73.9078582631,492.1201,8.147,5095,505,954,16.74,53323453178,3141599,368139389,27383.90625,
1/3/2016,1451779200,0.97,9258,41000,76221344.0938,73.9347037709,509.4547,8.312,5134,529,955,16.51,53342341402,3141597,369359246,27675.78125,
1/4/2016,1451865600,0.95,9474,41198,76248764.7188,72.4363264828,508.1827,8.334,5096,516,981,16.61,54038066808,3141599,402593450,27420.625,
1/5/2016,1451952000,0.94,16430,41381,76276603.9375,71.7000077013,513.2618,8.306,5126,583,1396,16.47,57078526509,3164299,1081639803,27839.21875,
1/6/2016,1452038400,0.97,17074,41647,76304229.4062,74.0151025241,513.8092,8.423,5090,575,1553,16.63,53724486418,3153939,1248021662,27625.46875,
1/7/2016,1452124800,0.96,22075,41869,76331251.5938,73.27800153,490.9855,8.21,4981,558,1550,16.99,53273537581,3146103,1230019603,27022.1875,
1/8/2016,1452211200,1.0,10919,42078,76359248.3125,76.3592483125,516.4913,8.302,5176,555,1080,16.28,53800517545,3141612,484149867,27996.71875,
1/9/2016,1452297600,1.0,11793,42411,76386844.0938,76.3868440937,514.4362,8.433,5099,553,1209,16.59,53277018400,3141674,727791392,27595.78125,
1/10/2016,1452384000,1.02,10320,42678,76414132.0625,77.9424147038,510.7642,8.337,5093,483,1044,16.59,53104731714,3141631,491410995,27287.96875,
1/11/2016,1452470400,1.08,10893,43005,76441137.2188,82.5564281962,541.9062,8.828,5107,389,1058,16.51,53940328769,3141626,482297856,27005.15625,
1/12/2016,1452556800,1.13,10862,43351,76467038.0,86.40775294,522.5879,8.89,4930,329,1094,17.23,54526276152,3141755,471922007,25900.78125,
1/13/2016,1452643200,1.14,17665,43579,76493573.3125,87.2026735763,508.8842,8.484,5002,402,1423,16.93,58256098368,3174885,1023451156,26535.3125,
1/14/2016,1452729600,1.15,10653,43804,76520492.5312,87.9985664109,532.0852,8.735,5090,387,1062,16.66,55250356301,3141660,489948500,26919.21875,
1/15/2016,1452816000,1.2,9875,44209,76547289.875,91.85674785,550.7681,8.996,5084,363,1006,16.61,57562550443,3141784,409950494,26797.34375,
1/16/2016,1452902400,1.22,10664,44494,76573813.0,93.42005186,557.6853,9.202,5046,344,967,16.79,55150540726,3141697,418575124,26523.125,
1/17/2016,1452988800,1.27,9747,44771,76600412.8438,97.2825243116,548.1829,9.068,5036,379,887,16.76,53477721574,3141705,323467063,26599.84375,
1/18/2016,1453075200,1.45,12916,45167,76627033.0,111.10919785,575.3153,9.454,5072,333,1057,16.71,53945900879,3141706,591740638,26620.15625,
1/19/2016,1453161600,1.27,13420,45486,76653125.8125,97.3494697819,572.2182,9.539,4972,326,1107,16.93,53767376718,3142004,678347830,26092.8125,
1/20/2016,1453248000,1.53,10610,45937,76679668.3125,117.319892518,572.1047,9.414,5038,360,959,16.72,55721616549,3141623,348032526,26542.5,
1/21/2016,1453334400,1.54,10734,46362,76705587.5312,118.126604798,573.709,9.598,4963,295,944,16.97,60639283859,3141658,342268224,25919.21875,
1/22/2016,1453420800,1.52,13848,46783,76731842.5312,116.632400648,597.3168,9.897,5007,324,1027,16.81,56195249052,3146193,570242575,26255.0,
1/23/2016,1453507200,2.02,11025,47374,76757612.2188,155.050376682,596.8191,10.059,4928,302,906,17.12,55504259187,3141776,322444465,25769.6875,
1/24/2016,1453593600,2.1,12798,48105,76784855.1875,161.248195894,628.651,10.133,5168,379,993,16.39,58951408559,3141605,423769859,27242.96875,
1/25/2016,1453680000,2.49,17121,48925,76810552.2188,191.258275025,605.5737,10.33,4881,345,1335,17.31,56752420983,3141736,726749777,25697.03125,
1/26/2016,1453766400,2.29,16511,49844,76837541.4375,175.957969892,658.7338,10.611,5152,327,1228,16.37,58955359850,3141650,673354229,26989.21875,
1/27/2016,1453852800,2.42,18747,50637,76863642.2188,186.010014169,647.7358,10.82,4983,317,1566,16.96,58687046251,3141823,988064305,26100.78125,
1/28/2016,1453939200,2.52,16765,51643,76890206.9062,193.763321404,624.3007,10.449,5059,334,1424,16.96,56180261528,3141716,757796542,26564.6875,
